symbol,timestamp,price,volume,change_percent
AAPL,2025-05-08T17:09:19.458317,74.45,6112,0.6
META,2025-05-08T17:09:20.535829,286.48,5778,-4.83
AMZN,2025-05-08T17:09:21.559206,78.14,6588,0.34
META,2025-05-08T17:09:22.569903,218.5,2136,4.21
AAPL,2025-05-08T17:09:23.676308,372.89,9090,3.51
ADBE,2025-05-08T17:09:24.687005,403.59,1357,2.05
TSLA,2025-05-08T17:09:25.694038,358.99,6118,0.52
META,2025-05-08T17:09:26.700187,110.67,8759,-3.47
PYPL,2025-05-08T17:09:27.859434,404.16,1938,2.34
MSFT,2025-05-08T17:09:28.867303,493.93,3079,-3.84
META,2025-05-08T17:09:29.875183,374.63,1190,-0.22
GOOG,2025-05-08T17:09:30.897867,64.33,8715,-3.07
AAPL,2025-05-08T17:09:31.910548,284.3,6276,-3.18
AMZN,2025-05-08T17:09:32.915718,334.1,8400,-0.16
AAPL,2025-05-08T17:09:33.924692,457.21,3558,2.2
TSLA,2025-05-08T17:09:34.933229,487.19,8630,1.27
PYPL,2025-05-08T17:09:35.953879,177.83,5306,-1.85
AMZN,2025-05-08T17:09:37.011389,72.24,4337,0.96
GOOG,2025-05-08T17:09:38.042019,366.82,5216,4.98
MSFT,2025-05-08T17:09:39.062296,460.68,2625,-1.03
META,2025-05-08T17:09:40.089579,88.62,9744,4.4
PYPL,2025-05-08T17:09:41.096516,110.8,7611,2.94
NFLX,2025-05-08T17:09:42.102694,155.45,1132,3.88
AMZN,2025-05-08T17:09:43.232582,137.5,7923,-3.29
ADBE,2025-05-08T17:09:44.243149,253.78,9574,-3.48
PYPL,2025-05-08T17:09:45.269667,309.45,8328,-1.16
GOOG,2025-05-08T17:09:46.278237,60.93,8896,-0.75
META,2025-05-08T17:09:47.288962,374.62,4993,-1.18
PYPL,2025-05-08T17:09:48.355647,413.57,7245,-4.47
META,2025-05-08T17:09:49.369136,264.17,8205,-4.58
NFLX,2025-05-08T17:09:50.407366,369.43,5265,-2.07
META,2025-05-08T17:09:51.431638,459.71,9962,1.41
AAPL,2025-05-08T17:09:52.456438,383.11,8791,-2.86
TSLA,2025-05-08T17:09:53.466848,126.27,4750,0.65
MSFT,2025-05-08T17:09:54.478266,88.46,1954,-4.72
NVDA,2025-05-08T17:09:55.482895,376.43,6288,2.98
META,2025-05-08T17:09:56.510256,99.51,1759,-0.61
META,2025-05-08T17:09:57.520013,200.39,1148,3.06
MSFT,2025-05-08T17:09:58.529377,102.91,7717,2.63
